ags,demand_2018,PV_average_flh,PV_roof_2017,PV_land_2017,PV_others,bioenergy_potential
08000000,0.2857142857142857,983.0,0.895,0.074,0.031,152580
09000000,0.294,984.0,0.789,0.194,0.017,315431
11000000,0.0,806.0,0.934,0.018,0.048,0
12000000,0.244,1092.0,0.303,0.695,0.002,106363
04000000,0.435,743.0,0.969,0.019,0.012,0
02000000,1.429,719.0,0.912,0.021,0.067,0
06000000,0.25,914.0,0.846,0.146,0.008,90204
13000000,0.303,932.0,0.4,0.6,0.0,111586
03000000,0.357,853.0,0.849,0.145,0.006,178598
05000000,0.385,873.0,0.941,0.048,0.011,119204
07000000,0.333,921.0,0.772,0.221,0.007,70692
10000000,0.357,910.0,0.72,0.274,0.006,8463
14000000,0.476,1039.0,0.527,0.471,0.002,78775
15000000,0.303,1044.0,0.425,0.571,0.004,77471
01000000,0.385,845.0,0.722,0.274,0.004,57419
16000000,0.256,964.0,0.54,0.456,0.004,69435
DG000000,0.294,913.875,0.732,0.255,0.013,1436220
